year,ekey,akey,medal
1936,293,255,
1936,381,255,
1936,38,255,
1948,293,255,
2000,395,256,
2004,395,256,
2008,395,256,
2012,212,256,
2000,195,257,
2004,112,257,
2008,112,257,
2008,578,258,
1984,9,259,
1984,301,259,
1984,335,259,B
1972,420,260,
1976,420,261,
2012,203,262,
1996,324,263,
2000,501,264,
1984,420,265,
2004,51,266,
1988,51,267,
1988,515,267,
1992,51,267,
1992,515,267,
1996,604,268,
2016,616,269,
1988,582,270,
1952,167,271,
2016,203,272,
2016,430,273,
1980,168,274,
2000,420,275,
1996,344,276,
2000,344,276,
2000,325,277,
2000,427,277,
2008,325,277,
1992,344,278,
1996,191,279,
2000,191,279,
2000,578,280,
1928,415,281,
1928,490,281,
1960,592,282,
1964,592,282,
1984,420,283,
1980,420,284,
1980,193,285,
1976,604,286,
1976,28,286,
1960,203,287,
1992,168,288,
1988,212,289,
2000,354,290,
1984,420,291,
1976,496,292,
1984,300,293,
1984,258,294,
1972,513,295,
1968,490,296,
1960,344,297,G
1964,344,298,S
2008,368,299,
2012,368,299,
1960,180,300,
1960,229,300,
1960,404,301,
1948,344,302,
1980,99,303,
1936,620,304,
1948,620,304,
1984,420,305,
1996,581,306,
1988,572,307,
1980,508,308,
1980,287,308,
1952,344,309,
2004,273,310,
2004,420,311,
2004,420,312,
1968,240,313,
1968,28,313,
1972,240,313,
1972,28,313,
2008,630,314,
2012,455,315,
1972,72,316,G
1968,202,317,
1968,422,317,
1968,162,317,
1968,314,317,
1968,223,317,
2012,158,318,
1992,344,319,
1992,344,320,
2008,395,321,
1988,555,322,
2004,479,323,
1992,435,324,
1992,344,325,
1988,162,326,
1988,314,326,
1988,122,326,
1988,136,326,
1988,197,326,
1988,223,326,
1984,240,327,
1960,587,328,
1992,420,329,
1920,420,330,
1996,197,331,
1996,330,331,
1996,223,331,
2000,330,331,
1992,536,332,
1996,536,332,
1968,606,333,
1972,543,333,
1988,618,334,
2016,245,335,
1996,429,336,
2000,72,336,
1996,203,337,
2000,575,337,G
2012,627,338,
2016,627,338,
1996,14,339,S
2000,429,339,G
2004,72,339,
2012,178,340,
2008,183,341,
1972,202,342,
2008,187,343,
2012,186,343,
2012,420,344,
2012,420,345,
2008,329,346,
2012,629,346,
2012,329,346,
1980,256,347,
1988,415,348,
1992,415,348,
2016,543,349,
2008,360,350,
2012,516,350,
2000,582,351,G
2004,543,352,
2008,390,353,
2012,137,353,
2016,112,354,
2016,456,355,
2016,203,356,
2004,112,357,
2008,501,357,S
2012,501,357,
1980,309,358,
1992,98,359,G
2000,98,359,
1988,513,360,
1996,513,360,
2004,167,361,
1936,98,362,
1960,519,364,
1992,177,365,
1972,72,366,
1968,28,368,
1968,180,368,
1936,291,369,
1972,582,370,
1976,582,370,
2000,411,371,
2008,411,371,
1996,429,372,
1984,102,373,
1988,541,373,
1992,541,373,
1960,344,374,
1984,437,375,
2000,513,376,
2004,420,377,
1980,76,378,
1992,494,379,
1992,395,379,B
1992,513,380,
1992,466,380,
1988,66,381,
2008,394,382,
2012,39,383,
2016,39,383,
1984,420,384,
1924,420,385,S
1928,420,385,
1972,246,386,
1976,246,386,
2004,188,387,
1972,420,388,
1928,152,389,
1928,42,389,
2008,329,390,
1972,461,394,
1972,210,394,S
1972,146,394,
1972,551,394,
1972,431,394,
1972,147,394,
2008,173,395,
2012,173,395,
2012,266,395,B
2016,173,395,
2016,266,395,
2008,461,396,
2008,210,396,
2008,146,396,
2008,431,396,
2008,147,396,
