year,ekey,akey,medal
2012,58,29368,G
2016,58,29368,S
1968,575,29369,
2000,461,29370,
2000,210,29370,
2000,146,29370,
2000,551,29370,
2000,431,29370,
2000,147,29370,
2008,420,29371,
2012,212,29372,
2016,212,29372,
2008,38,29373,
2016,322,29374,
2008,257,29375,
1996,524,29377,S
2004,600,29378,
2008,333,29379,
1996,276,29380,
1988,367,29381,
1996,177,29382,
1996,293,29382,
2000,177,29382,
2000,293,29382,S
2004,177,29382,
2004,293,29382,S
2016,512,29383,
2000,240,29384,
2004,302,29385,B
2008,302,29385,
1980,416,29386,
1984,416,29386,
1992,620,29387,S
1996,32,29387,
1984,358,29388,
2004,66,29389,
2008,66,29389,
2008,419,29390,
2012,419,29390,
2016,419,29390,
1980,125,29391,
1972,550,29392,
2016,220,29393,
2016,150,29393,
1980,303,29394,
1988,303,29394,G
1988,475,29394,
1992,303,29394,B
1928,541,29395,G
1948,550,29396,
1900,114,29397,G
1928,309,29398,
1928,109,29398,
2000,541,29399,
1924,621,29401,G
1928,541,29402,B
1988,621,29403,
1988,242,29404,
1988,366,29405,
1992,366,29405,
1976,303,29406,
1980,534,29407,
2008,574,29408,
2008,552,29408,
2000,47,29409,
2016,158,29410,
1960,404,29411,
1908,496,29412,S
1912,496,29412,B
1996,242,29413,B
2000,242,29413,B
2004,242,29413,S
1908,619,29415,
1980,173,29416,
1980,615,29416,
1984,173,29416,
1988,173,29416,
1992,173,29416,
1988,599,29417,
1992,450,29417,
1900,260,29418,
1900,601,29418,B
1976,177,29419,
1976,293,29419,
1928,256,29420,
1932,256,29420,
1928,566,29421,
1992,472,29423,S
2008,401,29424,
1992,290,29425,
1996,290,29425,
1984,185,29426,G
1988,185,29426,G
1948,420,29427,
1968,222,29428,
2000,420,29429,
1956,203,29430,
1964,203,29430,
1984,389,29431,
1992,494,29431,
1972,394,29433,
1980,394,29433,
1984,394,29433,
2012,188,29434,G
2016,618,29435,
2008,161,29436,
1992,295,29438,B
1992,276,29438,G
1996,276,29438,
1928,193,29439,
2016,325,29440,
2016,423,29440,
1936,258,29441,
1936,123,29442,
1952,314,29443,G
2016,58,29444,
1948,541,29445,
1968,257,29446,
1972,257,29446,
1904,420,29447,B
1924,494,29448,
1972,550,29449,
1936,583,29450,
1908,381,29451,
1908,38,29451,
1908,39,29451,
1908,90,29451,
1912,51,29451,
1912,38,29451,B
1912,90,29451,B
1920,38,29451,
1920,90,29451,B
1924,90,29451,B
2000,563,29452,
2004,563,29452,
2004,263,29452,
1980,44,29455,
1988,312,29455,S
1988,44,29455,B
2016,212,29457,
1976,344,29459,
1984,344,29459,S
1988,344,29459,S
2008,249,29460,
2012,249,29460,
2016,249,29460,
2000,437,29461,
2004,437,29461,
2004,561,29461,
2008,437,29461,
2008,561,29461,
1960,32,29462,
1960,620,29462,
1964,620,29462,
1960,189,29463,
1992,242,29464,G
1996,242,29464,
2008,582,29465,
1956,344,29466,
1896,369,29467,
1896,133,29467,B
1972,145,29470,
1960,122,29471,
1960,223,29471,
1992,553,29472,B
1948,463,29473,
1952,172,29473,G
1956,257,29473,
1960,172,29473,
1996,553,29474,
2000,506,29474,
1980,221,29475,
1976,452,29476,
1980,452,29476,
1984,584,29476,
1988,452,29476,G
1996,584,29476,
1984,221,29477,G
1988,567,29477,
1992,567,29477,G
1996,517,29477,
2000,517,29478,
1912,26,29479,
1976,606,29481,
1936,475,29482,
1996,602,29484,
2000,602,29484,G
1936,550,29486,G
1936,433,29486,
1992,582,29488,
1996,582,29488,
1936,513,29489,
1936,626,29489,G
1992,429,29490,
1956,158,29491,
1960,582,29492,
1964,388,29494,
1968,112,29495,
1976,110,29496,
1976,401,29496,
1980,110,29496,
1980,401,29496,
1984,110,29496,
1984,401,29496,G
2016,229,29497,
2000,415,29498,
2004,415,29498,
2008,415,29498,
1908,408,29499,
1908,256,29499,
1908,127,29499,
1908,315,29499,S
1912,408,29499,
1912,256,29499,
1996,549,29500,
1996,480,29500,
2000,393,29502,
2008,302,29502,
1984,549,29503,
1988,549,29503,
1988,480,29503,
1980,80,29504,
1968,461,29505,
1968,146,29505,
1968,551,29505,
1968,431,29505,
1968,147,29505,
2016,628,29507,
2016,203,29508,B
1996,290,29509,B
2000,290,29509,
1980,513,29510,
1988,394,29511,
1988,522,29511,
1992,224,29512,
1992,108,29512,B
1996,224,29512,
1996,108,29512,
2000,224,29512,
2000,108,29512,
2004,224,29512,
2004,108,29512,
2008,224,29512,
2008,108,29512,B
2012,224,29512,
2012,108,29512,
2012,53,29513,
2016,53,29513,S
1972,14,29514,
2000,440,29515,
1988,541,29516,
1968,83,29517,
1968,621,29517,
1968,194,29517,
1900,102,29518,
1900,541,29518,
1984,242,29519,
1988,242,29519,G
2016,179,29520,S
2004,602,29521,
1928,366,29522,
1972,461,29525,
1972,210,29525,
1972,146,29525,
1972,551,29525,
1972,431,29525,
1972,147,29525,
1952,496,29526,
2012,553,29527,
1976,420,29529,G
1964,388,29530,
1984,185,29532,
1988,185,29532,S
1984,517,29533,
1992,517,29533,
1996,506,29534,
2000,506,29534,B
2004,506,29534,
2008,506,29534,
1992,575,29536,B
1996,203,29536,B
1976,246,29538,S
1980,246,29538,G
2012,394,29539,
2012,522,29539,
1932,594,29541,
1972,28,29542,
1976,604,29542,
1976,28,29542,
2000,112,29543,
2004,76,29544,
2004,242,29545,
2012,7,29547,
1976,32,29548,
1976,620,29548,
1984,32,29548,
1984,620,29548,
1988,161,29550,B
1992,161,29550,
1996,161,29550,
1976,541,29551,
1956,420,29552,
1992,608,29553,
1992,489,29553,
1992,335,29553,S
1968,193,29554,
1972,592,29554,
2016,578,29555,
1972,294,29557,
1932,23,29558,G
1936,23,29558,
1992,110,29559,
1996,110,29559,
1996,348,29559,
1984,496,29561,S
1920,543,29562,
1972,203,29563,
1932,490,29564,
1964,623,29565,
1964,300,29565,
1976,339,29565,
1964,491,29566,
1968,477,29566,
2012,348,29567,
2004,324,29568,
2016,394,29569,
2016,522,29569,
1988,229,29570,
1992,229,29570,
1920,457,29571,
1920,196,29571,
1920,48,29571,
1920,131,29571,
1920,265,29571,
1936,359,29572,
2012,185,29573,
2016,185,29573,
2004,461,29574,
2004,210,29574,
2004,146,29574,
2004,551,29574,
2004,431,29574,
2008,461,29574,
2008,210,29574,
2008,146,29574,
2012,210,29574,
2012,146,29574,
2012,431,29574,
2004,51,29575,
1988,212,29576,
1992,212,29576,
1996,212,29576,
2008,430,29577,
2012,430,29577,
2012,475,29577,
1924,240,29579,
1924,604,29579,
2012,420,29580,G
2012,504,29581,
2016,76,29582,
1928,420,29583,
2016,518,29585,
2000,630,29586,
2000,92,29586,
2004,475,29586,
1984,102,29587,
1996,212,29588,
1996,479,29589,
2008,212,29590,
2012,212,29590,
2016,212,29590,
2008,161,29591,
2016,161,29591,
1952,496,29592,
1960,496,29592,
1964,496,29592,
1980,240,29593,
1980,28,29593,
1984,240,29593,
1984,28,29593,
1996,324,29594,
1996,168,29594,
2000,572,29594,
2004,572,29594,
2016,168,29595,
1952,582,29596,
1984,145,29597,
1984,496,29598,
2000,7,29599,
1952,400,29600,
1952,314,29600,
1956,508,29600,
2016,251,29601,
1956,490,29602,
1948,245,29603,
2016,240,29604,
2016,28,29604,
1952,583,29605,
1952,630,29605,
1960,583,29605,
1984,324,29606,
1984,168,29606,
1996,575,29607,
1948,258,29608,
1948,150,29608,
1952,150,29608,
1960,150,29608,
1960,202,29609,B
2004,172,29610,
2008,172,29610,
2016,172,29610,
1968,404,29611,
1956,359,29612,
1920,32,29613,
2000,618,29614,
2000,420,29615,
2000,420,29616,
1992,487,29617,
2016,218,29618,G
2000,67,29619,
2004,67,29619,
1972,395,29620,
1952,539,29621,
1992,420,29622,B
1936,251,29623,G
2016,534,29624,
1996,482,29625,
1960,410,29626,
2012,297,29627,B
2016,444,29627,S
2016,297,29627,B
2004,222,29631,
2008,222,29631,
1996,420,29633,G
1952,300,29634,
1952,111,29634,
1960,111,29634,
1948,24,29635,
1948,619,29635,
1948,117,29635,
1948,373,29635,
1948,164,29635,
1948,337,29635,
1948,270,29635,
1948,446,29635,
1952,24,29635,
1952,619,29635,
1952,117,29635,
1952,373,29635,
1952,164,29635,
1952,337,29635,
1952,270,29635,
1952,446,29635,
1956,24,29635,
1956,117,29635,
1956,373,29635,
1956,164,29635,
1956,337,29635,
1956,270,29635,
1956,446,29635,
1992,325,29636,
1992,427,29636,
1996,325,29636,
1996,427,29636,
2008,242,29637,
2000,158,29639,S
1992,10,29640,
1996,145,29640,
1920,309,29641,
1920,366,29641,
1972,584,29642,
2012,578,29644,
2012,202,29644,
2012,162,29644,
2012,223,29644,
2016,578,29644,
2016,202,29644,
2016,162,29644,
2016,223,29644,
1932,123,29645,
1936,123,29645,
1952,496,29647,
2004,389,29651,
1988,76,29652,
1980,381,29653,
1980,38,29653,
1992,381,29653,
1992,38,29653,
1968,572,29655,G
1984,534,29656,
1952,415,29657,
1952,490,29657,
1952,28,29657,
1952,168,29657,
1956,415,29657,
1996,411,29658,
1900,260,29661,
1900,601,29661,S
1900,24,29662,
2000,497,29663,
2004,497,29663,G
2004,295,29663,G
2008,295,29663,G
2008,276,29663,S
2012,57,29663,B
2012,295,29663,S
2016,57,29663,
2004,415,29664,
2008,415,29664,
2012,415,29664,
2004,420,29665,
1928,408,29666,
1928,256,29666,
1932,408,29666,B
1932,256,29666,
1936,408,29666,
1908,543,29667,
2016,234,29668,
1928,291,29670,
1936,291,29670,
1956,344,29672,
1992,246,29673,G
2000,246,29673,
1992,572,29675,
1996,572,29675,
1964,72,29676,
1968,72,29676,
2000,240,29677,
2004,28,29677,
2008,28,29677,
1968,541,29678,S
1992,368,29679,
1992,430,29679,
1988,11,29680,
1988,101,29680,
1984,608,29681,
1984,489,29681,
1984,335,29681,
1932,341,29682,S
1936,566,29684,
1948,98,29685,
1952,98,29685,
2012,461,29686,G
2012,210,29686,G
2012,146,29686,
2012,431,29686,
2012,147,29686,
2016,461,29686,
2016,210,29686,G
2016,146,29686,
2016,431,29686,
2016,147,29686,
1996,553,29687,
2000,593,29687,
1932,418,29688,
2008,59,29689,
2012,417,29689,
1932,6,29690,B
1924,124,29691,
1948,180,29692,B
1976,420,29695,
1924,420,29696,
1908,543,29697,G
1996,416,29698,
1964,293,29699,
1984,238,29700,
2000,490,29701,
2004,490,29701,
1996,501,29702,
2000,628,29702,
2008,368,29704,
2008,475,29704,
2004,229,29705,
2008,229,29705,
1992,245,29706,
1956,474,29707,
1984,606,29708,
2000,541,29709,G
1992,54,29710,
1992,348,29710,B
1992,368,29711,
1996,368,29711,
1988,604,29712,
1988,324,29712,
1992,324,29712,
1996,604,29712,
1996,324,29712,
2004,28,29712,
2016,420,29713,G
1948,102,29714,
2000,220,29715,
1996,240,29716,
1996,28,29716,
2000,604,29716,
2000,28,29716,
2004,168,29716,
1992,456,29718,B
1996,456,29718,G
2000,456,29718,G
1984,549,29719,
2012,224,29720,
1992,573,29721,
2016,366,29722,G
1988,487,29723,
2004,401,29724,
1964,240,29725,
1964,28,29725,
2004,616,29726,
2004,39,29727,
2004,90,29727,
1972,381,29728,
2004,411,29729,
2004,323,29730,
1972,582,29731,
1976,582,29731,
1980,582,29731,
1996,502,29733,
1996,345,29733,
1976,185,29734,
1924,158,29735,
1976,185,29736,
2008,415,29737,
2012,415,29737,
2016,415,29737,
1920,56,29738,
1972,452,29739,
2004,348,29740,
2008,54,29740,
1924,324,29741,
1980,145,29743,
2000,411,29744,
1920,245,29745,
1936,202,29746,
1948,111,29747,
1972,339,29748,
1900,306,29749,
1988,240,29750,
1988,28,29750,
1988,168,29750,
1992,604,29750,
1984,292,29751,
1984,211,29751,
1988,292,29751,
1988,211,29751,
1992,292,29751,
1992,211,29751,B
1996,292,29751,
1996,211,29751,B
2000,292,29751,
2000,211,29751,B
2004,292,29751,
2004,211,29751,B
2000,51,29752,B
1992,312,29753,G
1996,312,29753,
2016,314,29754,
2000,142,29755,
2000,614,29755,
2004,142,29755,
2004,614,29755,
2008,142,29755,
2008,614,29755,
2012,142,29755,
2012,614,29755,
2008,581,29756,
2008,300,29756,
2008,111,29756,
2000,240,29757,
2008,118,29758,
1996,185,29759,
1976,6,29760,
1980,487,29760,S
2012,487,29761,
2016,487,29761,
2012,506,29762,G
2000,416,29763,
2000,520,29765,
2004,520,29765,
1948,29,29766,
2008,441,29767,
1972,90,29768,
1936,293,29769,
2012,10,29770,
1948,541,29771,
1952,66,29773,
2012,354,29775,
2016,354,29775,
2016,621,29775,
1908,376,29776,B
1912,376,29776,S
1976,426,29777,
1960,202,29778,
1904,500,29779,S
1968,167,29780,
1972,167,29780,
1920,17,29781,
1908,570,29782,G
1908,570,29783,G
1912,513,29784,
1912,626,29784,
1956,584,29785,
1960,584,29785,
1988,606,29786,B
1992,606,29786,
1984,513,29787,
2008,461,29788,
2008,210,29788,
2008,146,29788,
2008,431,29788,
2008,147,29788,
2016,210,29788,
2016,431,29788,
2016,147,29788,
2016,461,29789,
2016,210,29789,
2016,146,29789,
2016,551,29789,
2016,431,29789,
2016,147,29789,
1976,422,29790,
1976,508,29790,
1976,314,29790,B
1904,507,29791,S
1904,332,29791,S
1904,613,29791,B
1904,596,29791,S
1904,198,29791,G
1904,34,29791,
1904,351,29791,G
1948,418,29792,
1908,540,29793,
1968,294,29794,
2000,292,29795,
2000,211,29795,
1980,466,29796,
1968,292,29797,
1968,211,29797,
1992,24,29798,
1992,117,29798,
1992,373,29798,
1992,164,29798,
1992,337,29798,
1992,270,29798,
1992,446,29798,
1996,24,29798,
1996,117,29798,
1996,373,29798,
1996,164,29798,
1996,337,29798,
1996,270,29798,
1996,446,29798,
1920,321,29799,
1920,463,29799,
1972,577,29800,
1936,152,29801,
1952,324,29802,
1952,490,29802,
1936,482,29803,
1968,582,29804,
2000,188,29805,
1920,463,29806,
1972,549,29807,
1976,344,29808,
1984,344,29808,
1912,513,29810,
1912,626,29810,
1956,541,29811,B
1984,230,29812,
2016,608,29813,
2016,489,29813,
1988,563,29814,
1988,263,29814,
1988,420,29815,
2004,553,29816,
2016,284,29817,
1988,541,29818,
1988,112,29819,
1924,217,29820,
1968,513,29821,
1972,513,29821,
1972,466,29821,
1980,203,29823,
1980,366,29824,
1920,177,29825,
1920,293,29825,
1924,177,29825,
1924,293,29825,
1956,512,29826,
1960,512,29826,
2008,402,29828,
1920,408,29829,
1988,487,29830,
1936,184,29831,
1984,194,29832,
2008,592,29833,
2012,592,29833,
2004,592,29834,
2008,592,29834,
1980,183,29835,S
1928,405,29836,
1980,102,29837,
1948,291,29838,
1948,102,29838,
1928,420,29839,
1992,120,29840,
2016,29,29842,
2008,461,29843,
2008,146,29843,
2008,551,29843,
2008,431,29843,
2008,147,29843,
2012,431,29843,
2012,147,29843,
1988,158,29844,
2004,11,29845,
2008,11,29845,
2004,497,29846,
2008,496,29847,
2012,76,29848,S
2008,618,29849,B
2008,61,29849,
2012,618,29849,
2012,61,29849,
2016,618,29849,
2016,61,29849,
1936,210,29850,
1948,210,29850,
1996,582,29852,S
2004,246,29853,
2012,441,29854,
1928,4,29855,
1968,291,29856,
2016,229,29858,
1960,291,29859,B
1976,462,29860,
1984,238,29861,
1964,246,29862,
1968,416,29864,B
2000,76,29866,
1976,251,29867,S
1980,251,29867,B
2000,202,29868,
2000,162,29868,
2000,223,29868,
2004,578,29868,S
2004,202,29868,
2004,162,29868,
2004,287,29868,
2008,578,29868,
2008,202,29868,
2008,223,29868,
2016,61,29869,
2008,227,29870,
2012,593,29870,
2016,227,29870,
1980,185,29871,
1936,24,29872,
1936,619,29872,
1936,117,29872,
1936,373,29872,
1936,164,29872,
1936,337,29872,
1936,270,29872,
1936,446,29872,
2004,230,29873,
1988,246,29874,
2000,181,29875,G
2004,181,29875,
2008,290,29876,
2000,402,29877,
2004,402,29877,
1948,582,29878,
2008,461,29879,
2008,210,29879,B
2008,146,29879,
2008,431,29879,
2008,147,29879,
1980,385,29880,
1960,582,29882,
1992,412,29884,
1996,327,29884,
2000,327,29884,
1952,587,29885,
1988,185,29886,
1996,420,29888,
2000,24,29890,
2000,619,29890,
2000,117,29890,
2000,373,29890,
2000,164,29890,
2000,337,29890,
2000,270,29890,
2000,446,29890,
2004,24,29890,
2004,619,29890,B
2004,117,29890,S
2004,373,29890,B
2004,164,29890,
2004,337,29890,
2004,270,29890,
2004,446,29890,
2008,24,29890,
2008,619,29890,
2008,117,29890,
2008,373,29890,
2008,337,29890,
2016,117,29890,
2016,373,29890,
2016,337,29890,
1972,444,29891,
2004,475,29892,
2008,475,29892,
2012,420,29893,
2004,251,29894,S
2012,496,29896,
1932,418,29897,
2016,441,29898,
2008,474,29899,
2012,474,29899,
2016,541,29899,S
1980,183,29901,
1984,183,29901,G
2004,411,29902,
2008,411,29902,
2000,39,29904,
1972,173,29906,
1980,173,29906,
1992,404,29908,
1936,98,29909,
1948,98,29909,
1936,381,29910,
1936,38,29910,S
1988,381,29911,
1988,38,29911,
1996,249,29912,
1992,499,29913,
2012,354,29914,
2012,621,29914,
2016,354,29914,
2008,290,29915,
2012,504,29915,
2016,10,29915,
1968,604,29916,
1972,240,29916,
1972,604,29916,
1976,245,29917,
2012,303,29918,
1980,324,29919,
1980,168,29919,
1996,168,29920,
1996,168,29921,
1952,29,29922,
1980,193,29923,
1956,517,29924,
1964,517,29924,
1948,44,29925,B
1948,387,29925,B
1952,44,29925,
1956,44,29925,
1956,387,29925,S
1984,251,29926,
1988,251,29926,
2016,420,29927,
2004,537,29928,B
1936,28,29929,G
2008,420,29930,
2004,120,29932,
2008,120,29932,
2012,120,29932,
2012,161,29933,
2016,161,29933,
2012,416,29934,
2012,496,29935,
1936,418,29936,
2000,419,29937,
2008,201,29939,
2016,201,29939,
2012,482,29940,
1948,173,29941,G
1948,615,29941,G
2004,520,29942,
2008,520,29942,
2012,520,29942,
1992,136,29943,
1996,354,29944,
1996,545,29944,
2000,354,29944,
2000,545,29944,
2004,354,29944,
2004,545,29944,
1904,587,29945,
1968,212,29946,
1976,212,29946,
1964,604,29947,S
1964,28,29947,G
2008,161,29948,
2012,161,29948,
2016,161,29948,
1956,461,29949,
1956,210,29949,
1956,253,29949,
1956,146,29949,
1956,551,29949,
1956,431,29949,
1956,147,29949,
1972,541,29950,
1924,489,29953,
1972,6,29954,
1976,6,29954,
2012,504,29955,
1972,105,29957,
1988,368,29958,B
1988,430,29958,B
1988,630,29958,S
1992,630,29958,G
2000,630,29958,G
1964,404,29959,
1948,491,29960,
2000,354,29961,
2000,621,29961,
2012,422,29962,
2016,422,29962,
2016,314,29962,
1960,582,29963,
1964,582,29963,
1908,389,29964,
1908,590,29964,B
1992,344,29965,S
1996,344,29965,B
2000,344,29965,B
1972,229,29966,S
1932,566,29968,
1980,251,29969,G
1976,6,29970,B
1980,479,29970,G
1992,411,29971,
1972,230,29973,
1980,420,29975,
2016,420,29976,
1948,541,29977,
2012,543,29978,
1968,422,29979,
1968,314,29979,
2008,420,29980,
1988,550,29981,
1992,425,29981,B
1900,309,29982,
1908,420,29983,S
1992,496,29984,
1996,496,29984,
1992,496,29985,
1996,496,29985,
1936,37,29987,
1984,367,29988,
2016,202,29989,
2016,162,29989,G
2016,223,29989,G
1912,545,29990,
1912,621,29990,S
1992,276,29991,
1920,494,29992,
1920,498,29992,G
2016,550,29993,
2016,297,29993,
1972,496,29995,G
1976,496,29995,
2000,24,29996,
2000,619,29996,B
2000,117,29996,
1988,461,29997,
1988,210,29997,
1988,146,29997,
1988,551,29997,
1988,431,29997,
1988,147,29997,
1904,618,29998,
1904,61,29998,
1952,173,30000,
1912,240,30001,
1984,584,30002,
1928,102,30003,B
2008,602,30004,
1952,44,30005,B
1952,387,30005,B
1956,44,30005,
1956,387,30005,
2004,482,30006,
2012,437,30007,
1992,582,30009,G
1976,576,30010,
1920,400,30011,
2012,165,30012,
1948,203,30013,G
2008,28,30014,
1936,98,30015,
1948,98,30015,
1980,221,30016,
2004,173,30017,
2004,615,30017,
2008,173,30017,
1908,309,30019,
1908,399,30019,
1908,397,30019,
1900,381,30020,
1956,38,30021,B
1960,381,30021,
1960,38,30021,
1964,381,30021,
1964,38,30021,B
2008,629,30022,
1976,291,30023,
2008,122,30026,
2008,136,30026,
2012,122,30026,
2012,136,30026,
2012,223,30026,
1928,381,30027,
1928,38,30027,
1936,381,30027,
1936,38,30027,
2012,520,30028,G
2008,6,30029,
2000,122,30030,
2004,122,30030,
2004,223,30030,S
1988,381,30031,
1988,38,30031,
1988,251,30032,
2004,24,30033,
2004,117,30033,
2004,373,30033,
2004,164,30033,
2004,337,30033,
2004,270,30033,
2004,446,30033,
1920,496,30034,
1948,344,30035,B
1952,344,30035,S
1960,177,30036,
1964,177,30036,
1964,293,30036,
1964,39,30036,
1964,90,30036,
1968,177,30036,G
1968,293,30036,
1952,461,30037,
1952,210,30037,
1952,253,30037,
1952,146,30037,
1952,551,30037,
1952,431,30037,
1952,147,30037,
2012,11,30038,
2012,398,30038,
2016,11,30038,
2016,398,30038,
1968,54,30039,
1976,592,30040,
2012,389,30041,
1988,517,30042,
1996,59,30044,
2012,20,30045,
2016,20,30045,
1924,168,30046,
1992,604,30047,
1992,324,30047,
1896,559,30049,B
1964,230,30051,
1968,474,30051,
1980,76,30052,S
2012,420,30053,
1948,418,30055,
1952,508,30056,
1952,314,30056,
2000,420,30057,
2000,582,30058,
2004,582,30058,
2000,420,30059,
1928,587,30062,S
1976,512,30063,
1980,512,30063,B
1980,148,30063,
1900,309,30064,
1980,513,30065,
1980,466,30065,S
1952,217,30066,
1956,575,30066,
1960,158,30066,B
1952,513,30067,
1952,626,30067,
1984,109,30068,
1984,366,30068,
1984,358,30068,
1992,513,30068,
1992,358,30068,
1948,399,30072,B
1968,102,30074,
1988,624,30075,
1988,624,30076,
1964,44,30077,
1968,479,30078,S
1924,68,30080,
1976,29,30081,
1984,29,30081,
1972,344,30082,G
1976,344,30082,
1936,344,30083,S
1952,420,30086,
1904,212,30087,
2000,333,30088,
2004,161,30088,B
2008,161,30088,
1984,422,30089,
1984,162,30089,
1984,314,30089,
1984,555,30089,
1988,162,30089,
1988,287,30089,
1988,555,30089,
1988,223,30089,
1900,136,30090,B
1980,545,30092,
1980,422,30093,
1980,314,30093,
1984,162,30093,
1984,314,30093,
2004,354,30094,
2012,404,30097,B
2016,404,30097,G
1924,68,30098,
1980,9,30099,
1964,496,30100,
1960,582,30101,
1964,582,30101,
1976,628,30102,
2008,482,30104,
2000,496,30106,
2004,496,30106,
2000,254,30107,
2004,254,30107,
2008,254,30107,
2012,254,30107,
2016,254,30107,
1976,516,30109,
1980,516,30109,
1952,420,30111,
1900,209,30112,S
1972,517,30113,
1992,574,30114,
1996,552,30114,
1908,5,30115,
1912,463,30115,
1932,102,30116,
1952,389,30117,
1968,420,30118,
1984,242,30119,S
1900,324,30120,
1900,572,30120,
1988,217,30121,
1996,240,30123,
1996,28,30123,S
2000,240,30123,
2000,28,30123,G
2004,420,30124,
2012,344,30125,
2016,553,30126,B
1964,88,30127,
1988,572,30128,
1928,38,30130,
1920,50,30131,S
1908,619,30132,
1912,619,30132,B
1972,415,30135,S
1976,415,30135,G
2016,251,30136,B
1996,524,30137,
1996,288,30137,
2000,524,30137,
2000,288,30137,
2008,524,30137,
2016,400,30138,
1996,416,30139,
1948,582,30140,
2016,98,30141,
1932,152,30143,
2004,161,30144,
2008,161,30144,
2016,161,30144,
1964,102,30147,
1968,541,30147,
1992,83,30148,
1992,621,30148,
1992,9,30148,
1992,301,30148,
1992,335,30148,
1996,85,30148,
2000,178,30149,
2004,333,30149,
2012,553,30150,
2012,98,30152,
1984,576,30153,G
1988,576,30153,
1992,576,30153,
2000,287,30154,
2000,555,30154,
2004,555,30154,
2004,330,30154,
2012,555,30154,
2012,330,30154,
2012,415,30155,
2004,230,30156,
2008,6,30156,B
2012,6,30156,G
2016,6,30156,G
2004,242,30157,
2008,242,30157,
1936,122,30158,
2004,435,30159,
1980,556,30160,
2004,422,30161,
2004,508,30161,
2016,246,30162,
1980,246,30163,
1936,230,30164,
1936,541,30164,
1980,242,30165,
2004,344,30166,
2008,240,30167,
1992,344,30168,
1952,368,30169,
1952,430,30169,
1956,420,30170,
1972,344,30171,
1956,344,30172,
1964,344,30172,
1964,54,30173,
1988,76,30174,B
1992,76,30174,B
2000,76,30174,
1996,572,30176,
2004,582,30177,
2008,582,30177,
2008,261,30178,G
1988,303,30179,
2004,142,30180,G
2008,142,30180,
2008,614,30180,G
2012,614,30180,
2016,142,30180,S
2016,614,30180,B
1992,581,30181,
1996,430,30182,
1996,54,30182,
1984,258,30183,
2012,502,30184,
1988,381,30185,
1908,39,30187,
1908,90,30187,
1980,466,30188,
1900,182,30189,
1932,123,30190,
1928,389,30191,
1952,582,30192,
1932,368,30193,
1932,475,30193,
1936,381,30194,
1936,38,30194,
1936,587,30195,
1960,111,30196,
1956,256,30197,
1960,256,30197,
1956,51,30198,
1956,515,30198,
2000,622,30199,
1992,72,30200,
1996,72,30200,
2008,49,30201,
2008,338,30201,
1960,173,30202,
1964,574,30203,
1964,552,30203,S
1988,578,30204,
1988,202,30204,
1988,122,30204,
1948,158,30206,
1964,240,30207,
1964,604,30207,
2008,122,30208,
2008,136,30208,
2000,112,30210,
2008,243,30211,
1996,168,30212,
2000,168,30212,
1996,420,30213,
1960,344,30214,B
1964,344,30214,
1960,344,30215,B
2016,593,30216,B
1988,420,30217,
1988,572,30218,
1988,389,30218,
1992,412,30219,
1968,66,30220,
1996,482,30221,
2000,482,30221,
1992,420,30222,
2004,191,30223,
2008,191,30223,
2016,258,30224,
1964,582,30225,
1948,545,30226,
1948,234,30226,
1948,621,30226,
2012,513,30227,
2012,509,30227,
2016,578,30228,
1984,575,30229,
1968,99,30230,
1972,99,30230,
1976,99,30230,
1964,582,30231,
2016,520,30232,
2008,292,30233,
2008,211,30233,
1988,516,30234,
1964,582,30235,
1964,582,30236,
2004,537,30237,
2008,537,30237,
1936,51,30238,
2008,535,30239,
1960,420,30240,
1924,594,30243,
2000,419,30244,
2000,563,30245,G
2000,263,30245,
2016,563,30245,
2016,263,30245,
1928,203,30246,
1988,344,30247,
2012,254,30248,
1988,368,30249,
1988,430,30249,
1992,368,30249,
1992,430,30249,
2000,572,30250,
2000,168,30250,
2004,572,30250,
1968,592,30252,B
1984,167,30253,
1988,167,30253,
1948,37,30254,
2004,368,30256,
1984,125,30257,
1988,593,30257,
1948,344,30258,
1952,344,30258,
1972,426,30259,
1972,359,30259,
2016,242,30260,
1960,183,30262,
1964,195,30262,
1924,29,30263,
1960,189,30264,
2004,92,30265,
2008,586,30266,
1984,581,30267,
1984,300,30267,
1988,300,30267,
1988,111,30267,
1996,581,30267,
1996,300,30267,
2000,300,30267,
2000,111,30267,
2016,512,30268,
2016,482,30269,
1908,420,30270,
1920,420,30271,
1924,420,30271,
1992,453,30272,
1996,453,30272,
2000,453,30272,
2000,113,30272,
2008,491,30273,
1900,260,30274,
1900,378,30274,S
1996,393,30275,
2012,424,30276,
1980,324,30277,
1980,168,30277,
1984,168,30277,
1900,309,30278,
1912,68,30279,S
1908,490,30281,
1900,24,30282,
1900,260,30285,
1900,378,30285,S
1948,344,30286,
1952,344,30286,
1956,344,30286,
1960,344,30286,
1948,44,30287,
1984,221,30288,
1908,56,30289,
1980,582,30290,
1924,158,30291,
1976,344,30292,
2012,412,30293,
1908,24,30294,
1920,439,30295,B
2000,426,30298,
2000,223,30298,
2004,426,30298,B
2004,359,30298,
2004,223,30298,
2008,426,30298,B
2008,359,30298,B
2008,223,30298,
1900,260,30299,
1900,473,30299,B
1984,487,30300,
1988,506,30301,
1992,472,30301,
1900,309,30302,
1908,381,30303,
1920,381,30303,
2016,72,30304,
2012,161,30306,
